"city","state","lat","lon"
"Holly","WA",47.5576,-122.9785
"Valley","WA",48.173,-117.7245
"Republic","WA",48.6477,-118.7326
"Odessa","WA",47.3326,-118.6895
"Edgewood","WA",47.2309,-122.2832
"Burlington","WA",48.4677,-122.3298
"Rice","WA",48.4288,-118.1703
"Marengo","WA",47.0257,-118.1886
"Cusick","WA",48.3328,-117.2962
"Virginia","WA",47.7073,-122.6374
"Concrete","WA",48.5371,-121.7512
"Langley","WA",48.0337,-122.4084
"Othello","WA",46.8222,-119.1651
"North City","WA",47.7557,-122.3135
"Hazel Dell","WA",45.6797,-122.6553
"Colfax","WA",46.9031,-117.3394
"Metaline","WA",48.854,-117.3899
"Randle","WA",46.5351,-121.957
"Millwood","WA",47.6856,-117.2806
"Snoqualmie Pass","WA",47.4014,-121.411
"Bangor","WA",47.7209,-122.746
"Thorp","WA",47.0655,-120.6709
"Tahlequah","WA",47.3326,-122.5073
"Prescott","WA",46.2988,-118.3125
"Buckley","WA",47.1615,-122.02
"Dalkena","WA",48.2449,-117.2377
"Leland","WA",47.8918,-122.8866
"Fruitvale","WA",46.6179,-120.5531
"Port Hadlock","WA",48.0318,-122.7582
"University Place","WA",47.2148,-122.546
"Morton","WA",46.5575,-122.2815
"Deep River","WA",46.3521,-123.6984
"Elberton","WA",46.9813,-117.2213
"Kingston","WA",47.8014,-122.4989
"Silverton","WA",48.0784,-121.5671
"Vader","WA",46.4045,-122.9569
"Donald","WA",46.4737,-120.3923
"Miles","WA",47.9107,-118.2925
"Asotin","WA",46.3371,-117.0433
"Joyce","WA",48.1365,-123.7341
"Eagledale","WA",47.6143,-122.5154
"Port Ludlow","WA",47.9101,-122.7006
"Loomis","WA",48.8235,-119.6398
"New London","WA",47.0573,-123.9271
"Desert Aire","WA",46.6873,-119.9311
"Poulsbo","WA",47.7417,-122.6407
"Cedonia","WA",48.1538,-118.1692
"Union","WA",47.3475,-123.0952
"Suquamish","WA",47.7237,-122.583
"Deep Creek","WA",47.6429,-117.7122
"Yoman","WA",47.1865,-122.7062
"Cordell","WA",48.8665,-119.412
"Hoquiam","WA",46.9863,-123.9023
"Hay","WA",46.6788,-117.9158
"Nespelem","WA",48.167,-118.9722
"Ephrata","WA",47.3119,-119.5344
"Kent","WA",47.3887,-122.2128
"Mukilteo","WA",47.9094,-122.3035
"Boise","WA",47.1804,-122.0157
"Kirkland","WA",47.6997,-122.2041
"Waitsburg","WA",46.2696,-118.151
"Ridgecrest","WA",47.7473,-122.3179
"Freeman","WA",47.5182,-117.1958
"Dallesport","WA",45.6316,-121.1749
"Redmond","WA",47.6762,-122.1166
"Wilkeson","WA",47.1034,-122.0495
"Sisco Heights","WA",48.1188,-122.1076
"Lewisville","WA",45.8127,-122.5144
"Kennard Corner","WA",47.8201,-122.2076
"Benge","WA",46.9093,-118.1025
"Granger","WA",46.3455,-120.1925
"Yarrow Point","WA",47.6452,-122.2179
"Lost Creek","WA",48.6094,-117.3636
"Moxee City","WA",46.5537,-120.3831
"Hockinson","WA",45.7301,-122.4833
"Oakville","WA",46.8403,-123.2333
"Tukwila","WA",47.4748,-122.2727
"Mabana","WA",48.0945,-122.4151
"Kangley","WA",47.3618,-121.8801
"Clallam Bay","WA",48.2536,-124.2579
"Newport","WA",48.179,-117.0549
"Enetai","WA",47.5885,-122.6058
"Clearview","WA",47.8292,-122.1452
"Sahalee","WA",47.6348,-122.0554
"Yelm","WA",46.9398,-122.6261
"Midway","WA",47.3048,-122.5896
"Olympia","WA",47.0418,-122.8959
"Endicott","WA",46.9282,-117.6868
"Lind","WA",46.9703,-118.6162
"Fife","WA",47.2328,-122.3517
"Newport Hills","WA",47.5409,-122.1765
"Upper Mill","WA",47.1934,-121.9271
"Upper Preston","WA",47.5051,-121.9076
"Pateros","WA",48.0536,-119.8994
"Nordland","WA",48.0509,-122.691
"Tyler","WA",47.436,-117.7835
"Camden","WA",48.0474,-117.2399
"Palisades","WA",47.419,-119.9145
"Rockport","WA",48.4854,-121.6065
"Port Orchard","WA",47.516,-122.6615
"Preston","WA",47.5237,-121.9271
"Tieton","WA",46.7026,-120.756
"Rochester","WA",46.8288,-123.0722
"Bingen","WA",45.7139,-121.4704
"Harbour Pointe","WA",47.8857,-122.3051
"Wellpinit","WA",47.8879,-117.988
"Glacier","WA",48.8902,-121.9323
"Farmington","WA",47.0887,-117.0464
"Eastsound","WA",48.6968,-122.9055
"Central Park","WA",46.9705,-123.7018
"Bremerton","WA",47.5436,-122.7122
"Friday Harbor","WA",48.5324,-123.0656
"Carnation","WA",47.6446,-121.9048
"Lake Shore","WA",45.6911,-122.6911
"Houghton","WA",47.6609,-122.206
"Lester","WA",47.2093,-121.494
"Lake Stevens","WA",48.0029,-122.096
"Mineral","WA",46.7193,-122.1859
"Lake Stickney","WA",47.8709,-122.2596
"Acme","WA",48.7146,-122.2293
"Oyehut","WA",47.0232,-124.1631
"Mossyrock","WA",46.5305,-122.4887
"Bridgeport","WA",48.0063,-119.6737
"Fobes Hill","WA",47.9391,-122.1341
"Rosario","WA",48.6487,-122.876
"Brewster","WA",48.1034,-119.7751
"Fox Island","WA",47.2475,-122.6255
"Canyon Park","WA",47.7909,-122.1926
"Rock Island","WA",47.3743,-120.1382
"High Rock","WA",47.8129,-121.9826
"Rockford","WA",47.4513,-117.1307
"Erlands Point","WA",47.5998,-122.6929
"Montesano","WA",47.0102,-123.5858
"Gorst","WA",47.5237,-122.7057
"Johnson","WA",46.6316,-117.1379
"Alderton","WA",47.1718,-122.2192
"Dusty","WA",46.8102,-117.6519
"Tekoa","WA",47.2247,-117.0731
